player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Ben Godfrey,Everton,DF,25,15,"1,120",0,0,0,1.7,1.7,11,43,0.00,0.00,0.00,0.14,0.14,0,0,43,11,26
Ben Johnson,West Ham,"DF,FW",23,14,544,0,0,0,0.2,0.2,17,22,0.00,0.00,0.00,0.03,0.03,0,0,22,17,33
Ben Mee,Brentford,DF,33,16,"1,272",2,0,0,1.5,1.5,11,49,0.14,0.00,0.14,0.10,0.10,0,0,49,11,9
Ben Osborn,Sheffield Utd,"DF,MF",28,24,"1,367",0,0,2,0.2,0.2,16,55,0.00,0.13,0.13,0.01,0.01,0,2,55,16,44
Ben White,Arsenal,DF,25,37,"2,988",4,0,4,1.2,1.2,44,192,0.12,0.12,0.24,0.03,0.03,0,4,192,44,162
Benoît Badiashile,Chelsea,DF,22,18,"1,338",0,0,1,0.3,0.3,3,46,0.00,0.07,0.07,0.02,0.02,0,1,46,3,3
Benson Manuel,Burnley,"MF,FW",26,8,116,0,0,0,0.1,0.1,5,2,0.00,0.00,0.00,0.05,0.05,0,0,2,5,14
Bernardo Silva,Manchester City,"MF,FW",28,33,"2,578",6,0,9,3.7,3.7,140,177,0.21,0.31,0.52,0.13,0.13,0,9,177,140,260
Bernd Leno,Fulham,GK,31,38,"3,420",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Beto,Everton,FW,25,30,951,3,0,0,6.8,6.0,14,14,0.28,0.00,0.28,0.64,0.57,1,0,14,14,58
Billy Gilmour,Brighton,MF,22,30,"2,120",0,0,1,1.0,1.0,39,193,0.00,0.04,0.04,0.04,0.04,0,1,193,39,33
Bobby Reid,Fulham,FW,30,33,"1,423",6,0,2,4.6,4.6,35,47,0.38,0.13,0.51,0.28,0.28,0,2,47,35,95
Boubacar Kamara,Aston Villa,MF,23,20,"1,652",0,0,1,0.1,0.1,19,83,0.00,0.05,0.05,0.01,0.01,0,1,83,19,10
Boubacar Traoré,Wolves,MF,21,24,819,0,0,0,0.3,0.3,9,29,0.00,0.00,0.00,0.03,0.03,0,0,29,9,15
Brennan Johnson,Tottenham,FW,22,32,"2,085",5,0,10,10.3,10.3,97,72,0.22,0.43,0.65,0.44,0.44,0,10,72,97,293
Brennan Johnson,Nott'ham Forest,"FW,MF",22,3,237,0,0,0,0.3,0.3,8,1,0.00,0.00,0.00,0.12,0.12,0,0,1,8,14
Bruno Fernandes,Manchester Utd,"MF,FW",28,35,"3,118",10,4,8,10.0,6.1,86,297,0.29,0.23,0.52,0.29,0.18,5,8,297,86,182
Bruno Guimarães,Newcastle Utd,MF,25,37,"3,263",7,0,8,4.8,4.8,65,283,0.19,0.22,0.41,0.13,0.13,0,8,283,65,73
Bryan Gil,Tottenham,"FW,MF",22,11,209,0,0,0,0.8,0.8,11,16,0.00,0.00,0.00,0.32,0.32,0,0,16,11,49
Bryan Mbeumo,Brentford,FW,23,25,"1,960",9,3,6,9.8,7.4,74,88,0.41,0.28,0.69,0.45,0.34,3,6,88,74,195
