player,team,position,age,games,minutes,goals,pens_made,assists,xg,npxg,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,xg_per90,npxg_per90,pens_att,assists,progressive_passes,progressive_carries,progressive_passes_received
Neal Maupay,Everton,FW,26,2,111,0,0,0,1.4,1.4,1,0,0.00,0.00,0.00,1.16,1.16,0,0,0,1,6
Neco Williams,Nott'ham Forest,DF,22,26,"1,637",0,0,1,0.8,0.8,48,47,0.00,0.05,0.05,0.04,0.04,0,1,47,48,86
Neto,Bournemouth,GK,34,32,"2,880",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Nick Pope,Newcastle Utd,GK,31,15,"1,345",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Nicolas Jackson,Chelsea,FW,22,35,"2,799",14,0,5,18.6,18.6,70,67,0.45,0.16,0.61,0.60,0.60,0,5,67,70,200
Nicolás Domínguez,Nott'ham Forest,"MF,FW",25,26,"1,495",2,0,2,1.3,1.3,14,91,0.12,0.12,0.24,0.08,0.08,0,2,91,14,43
Nicolò Zaniolo,Aston Villa,"FW,MF",24,25,839,2,0,0,2.6,2.6,35,30,0.21,0.00,0.21,0.28,0.28,0,0,30,35,60
Noni Madueke,Chelsea,FW,21,23,"1,053",5,1,2,2.5,1.7,76,52,0.43,0.17,0.60,0.21,0.14,1,2,52,76,136
Nuno Tavares,Nott'ham Forest,DF,23,8,457,0,0,0,0.2,0.2,14,24,0.00,0.00,0.00,0.03,0.03,0,0,24,14,12
Nélson Semedo,Wolves,"DF,MF",29,36,"3,084",0,0,1,1.3,1.3,103,138,0.00,0.03,0.03,0.04,0.04,0,1,138,103,150
Odeluga Offiah,Brighton,DF,20,4,128,0,0,0,0.0,0.0,9,4,0.00,0.00,0.00,0.00,0.00,0,0,4,9,9
Odisseas Vlachodimos,Nott'ham Forest,GK,29,5,450,0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Odsonne Édouard,Crystal Palace,"FW,MF",25,30,"1,555",7,0,0,6.2,6.2,33,36,0.41,0.00,0.41,0.36,0.36,0,0,36,33,100
Ola Aina,Nott'ham Forest,DF,26,22,"1,692",1,0,1,0.3,0.3,53,68,0.05,0.05,0.11,0.01,0.01,0,1,68,53,38
Oleksandr Zinchenko,Arsenal,DF,26,27,"1,722",1,0,2,0.6,0.6,40,229,0.05,0.10,0.16,0.03,0.03,0,2,229,40,58
Oliver Arblaster,Sheffield Utd,MF,19,12,943,0,0,0,0.0,0.0,13,43,0.00,0.00,0.00,0.00,0.00,0,0,43,13,4
Oliver McBurnie,Sheffield Utd,FW,27,21,"1,280",6,2,3,6.9,5.3,6,30,0.42,0.21,0.63,0.48,0.37,2,3,30,6,60
Oliver Norwood,Sheffield Utd,MF,32,27,"1,440",1,1,0,1.1,0.3,3,73,0.06,0.00,0.06,0.07,0.02,1,0,73,3,10
Oliver Skipp,Tottenham,"MF,DF",22,21,707,0,0,0,0.7,0.7,8,37,0.00,0.00,0.00,0.09,0.09,0,0,37,8,25
Ollie Watkins,Aston Villa,FW,27,37,"3,217",19,0,13,16.8,16.8,62,55,0.53,0.36,0.90,0.47,0.47,0,13,55,62,214
Orel Mangala,Nott'ham Forest,MF,25,20,"1,563",1,0,0,0.8,0.8,13,45,0.06,0.00,0.06,0.05,0.05,0,0,45,13,14
Oscar Bobb,Manchester City,"FW,MF",20,14,302,1,0,1,1.4,1.4,13,25,0.30,0.30,0.60,0.41,0.41,0,1,25,13,38
Pablo Fornals,West Ham,"MF,FW",27,15,426,0,0,0,0.3,0.3,4,29,0.00,0.00,0.00,0.07,0.07,0,0,29,4,27
Pablo Sarabia,Wolves,"MF,FW",31,30,"1,745",4,2,7,5.5,3.9,41,109,0.21,0.36,0.57,0.28,0.20,2,7,109,41,137
Pape Matar Sarr,Tottenham,MF,20,34,"2,069",3,0,3,3.4,3.4,43,150,0.13,0.13,0.26,0.15,0.15,0,3,150,43,90
Pascal Groß,Brighton,"MF,DF",32,36,"3,114",4,1,10,6.5,5.7,83,302,0.12,0.29,0.40,0.19,0.16,1,10,302,83,180
Pau Torres,Aston Villa,DF,26,29,"2,464",2,0,0,1.0,1.0,42,128,0.07,0.00,0.07,0.04,0.04,0,0,128,42,16
Pedro Neto,Wolves,"FW,MF",23,20,"1,516",2,0,9,3.5,3.5,98,54,0.12,0.53,0.65,0.21,0.21,0,9,54,98,149
Pedro Porro,Tottenham,DF,23,35,"3,089",3,0,7,2.9,2.9,57,194,0.09,0.20,0.29,0.09,0.09,0,7,194,57,158
Pelly Ruddock Mpanzu,Luton Town,MF,30,27,"1,101",0,0,0,0.6,0.6,10,34,0.00,0.00,0.00,0.05,0.05,0,0,34,10,15
Pervis Estupiñán,Brighton,DF,25,19,"1,243",2,0,3,1.0,1.0,47,83,0.14,0.22,0.36,0.07,0.07,0,3,83,47,88
Phil Foden,Manchester City,"FW,MF",23,35,"2,857",19,0,8,10.3,10.3,93,168,0.60,0.25,0.85,0.33,0.33,0,8,168,93,269
Philip Billing,Bournemouth,MF,27,29,"1,398",2,0,2,2.5,2.5,22,53,0.13,0.13,0.26,0.16,0.16,0,2,53,22,63
Pierre Højbjerg,Tottenham,MF,27,36,"1,311",0,0,0,0.7,0.7,17,134,0.00,0.00,0.00,0.05,0.05,0,0,134,17,29
Radu Drăgușin,Tottenham,DF,21,9,429,0,0,0,0.1,0.1,5,8,0.00,0.00,0.00,0.03,0.03,0,0,8,5,1
Raheem Sterling,Chelsea,"FW,MF",28,31,"1,978",8,0,4,6.5,6.5,120,78,0.36,0.18,0.55,0.29,0.29,0,4,78,120,242
Raphaël Varane,Manchester Utd,DF,30,22,"1,375",1,0,0,1.3,1.3,16,59,0.07,0.00,0.07,0.08,0.08,0,0,59,16,2
Rasmus Højlund,Manchester Utd,FW,20,30,"2,158",10,0,2,7.6,7.6,36,33,0.42,0.08,0.50,0.32,0.32,0,2,33,36,111
Rayan Aït-Nouri,Wolves,"DF,MF",22,33,"2,329",2,0,1,3.3,3.3,67,99,0.08,0.04,0.12,0.13,0.13,0,1,99,67,99
Raúl Jiménez,Fulham,FW,32,24,"1,395",7,0,0,5.2,5.2,11,24,0.45,0.00,0.45,0.33,0.33,0,0,24,11,87
Reece Burke,Luton Town,DF,26,22,"1,660",0,0,4,1.3,1.3,11,67,0.00,0.22,0.22,0.07,0.07,0,4,67,11,14
Reece James,Chelsea,DF,23,10,419,0,0,2,0.3,0.3,19,21,0.00,0.43,0.43,0.07,0.07,0,2,21,19,35
Reiss Nelson,Arsenal,FW,23,15,268,0,0,0,0.2,0.2,9,5,0.00,0.00,0.00,0.07,0.07,0,0,5,9,26
Rhian Brewster,Sheffield Utd,"FW,MF",23,13,346,0,0,0,0.4,0.4,1,3,0.00,0.00,0.00,0.09,0.09,0,0,3,1,21
Rhys Norrington-Davies,Sheffield Utd,DF,24,5,110,0,0,0,0.0,0.0,3,2,0.00,0.00,0.00,0.00,0.00,0,0,2,3,6
Richarlison,Tottenham,FW,26,28,"1,491",11,0,4,9.6,9.6,26,38,0.66,0.24,0.91,0.58,0.58,0,4,38,26,106
Rico Henry,Brentford,DF,26,5,401,0,0,1,0.1,0.1,13,20,0.00,0.22,0.22,0.02,0.02,0,1,20,13,12
Rico Lewis,Manchester City,"DF,MF",18,16,809,2,0,0,0.6,0.6,21,33,0.22,0.00,0.22,0.07,0.07,0,0,33,21,46
Robert Sánchez,Chelsea,GK,25,16,"1,433",0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Robin Olsen,Aston Villa,GK,33,5,405,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Rodri,Manchester City,MF,27,34,"2,931",8,0,9,4.1,4.1,76,376,0.25,0.28,0.52,0.12,0.12,0,9,376,76,55
Rodrigo Bentancur,Tottenham,MF,26,23,"1,005",1,0,1,1.9,1.9,16,72,0.09,0.09,0.18,0.17,0.17,0,1,72,16,31
Rodrigo Muniz,Fulham,FW,22,26,"1,593",9,0,1,8.7,8.7,8,19,0.51,0.06,0.56,0.49,0.49,0,1,19,8,76
Ross Barkley,Luton Town,MF,29,32,"2,618",5,0,4,4.1,4.1,48,163,0.17,0.14,0.31,0.14,0.14,0,4,163,48,39
Ryan Christie,Bournemouth,MF,28,37,"2,907",0,0,5,2.3,2.3,60,167,0.00,0.15,0.15,0.07,0.07,0,5,167,60,78
Ryan Gravenberch,Liverpool,MF,21,26,"1,121",1,0,0,2.0,2.0,39,78,0.08,0.00,0.08,0.16,0.16,0,0,78,39,71
Ryan John Giles,Luton Town,"DF,MF",23,11,503,0,0,0,0.1,0.1,9,17,0.00,0.00,0.00,0.02,0.02,0,0,17,9,30
Ryan Yates,Nott'ham Forest,MF,25,35,"1,992",1,0,1,2.6,2.6,18,73,0.05,0.05,0.09,0.12,0.12,0,1,73,18,37
Rúben Dias,Manchester City,DF,26,30,"2,559",0,0,0,1.4,1.4,34,173,0.00,0.00,0.00,0.05,0.05,0,0,173,34,16
Sam Johnstone,Crystal Palace,GK,30,20,"1,796",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Saman Ghoddos,Brentford,DF,29,19,739,1,0,0,0.3,0.3,22,36,0.12,0.00,0.12,0.04,0.04,0,0,36,22,31
Sander Berge,Burnley,MF,25,37,"3,005",1,0,2,1.9,1.9,64,164,0.03,0.06,0.09,0.06,0.06,0,2,164,64,29
Sandro Tonali,Newcastle Utd,MF,23,8,438,1,0,0,0.7,0.7,11,19,0.21,0.00,0.21,0.13,0.13,0,0,19,11,21
Santiago Bueno,Wolves,DF,24,12,822,0,0,0,0.0,0.0,3,11,0.00,0.00,0.00,0.00,0.00,0,0,11,3,2
Sasa Kalajdzic,Wolves,FW,26,11,166,2,0,0,1.1,1.1,1,5,1.08,0.00,1.08,0.57,0.57,0,0,5,1,9
Saïd Benrahma,West Ham,"FW,MF",27,13,620,0,0,1,1.8,1.0,28,28,0.00,0.15,0.15,0.27,0.15,1,1,28,28,70
Saša Lukić,Fulham,MF,26,24,"1,122",1,0,0,1.6,1.6,12,43,0.08,0.00,0.08,0.13,0.13,0,0,43,12,27
Scott McKenna,Nott'ham Forest,DF,26,5,416,0,0,0,0.2,0.2,1,10,0.00,0.00,0.00,0.05,0.05,0,0,10,1,0
Scott McTominay,Manchester Utd,"MF,FW",26,32,"1,901",7,0,1,5.7,5.7,29,64,0.33,0.05,0.38,0.27,0.27,0,1,64,29,47
Sean Longstaff,Newcastle Utd,MF,25,35,"2,747",6,0,2,6.6,6.6,24,145,0.20,0.07,0.26,0.22,0.22,0,2,145,24,116
Serge Aurier,Nott'ham Forest,"DF,MF",30,12,833,0,0,2,0.2,0.2,10,47,0.00,0.22,0.22,0.02,0.02,0,2,47,10,29
Sergio Reguilón,Manchester Utd,DF,26,9,412,0,0,0,0.2,0.2,11,27,0.00,0.00,0.00,0.04,0.04,0,0,27,11,38
Sergio Reguilón,Brentford,DF,26,16,"1,118",0,0,4,0.8,0.8,34,38,0.00,0.32,0.32,0.06,0.06,0,4,38,34,40
Shandon Baptiste,Brentford,MF,25,10,229,1,0,1,0.9,0.9,3,5,0.39,0.39,0.79,0.35,0.35,0,1,5,3,1
Simon Adingra,Brighton,FW,21,31,"2,222",6,0,1,4.3,4.3,111,50,0.24,0.04,0.28,0.17,0.17,0,1,50,111,278
Sofyan Amrabat,Manchester Utd,"MF,DF",26,21,938,0,0,0,0.1,0.1,6,66,0.00,0.00,0.00,0.01,0.01,0,0,66,6,10
Solly March,Brighton,"FW,DF",29,7,554,3,0,1,2.0,2.0,14,24,0.49,0.16,0.65,0.32,0.32,0,1,24,14,44
Son Heung-min,Tottenham,FW,31,35,"2,934",17,2,10,12.0,10.4,119,139,0.52,0.31,0.83,0.37,0.32,2,10,139,119,325
Stefan Ortega,Manchester City,GK,30,9,635,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Sven Botman,Newcastle Utd,DF,23,17,"1,377",2,0,2,0.6,0.6,0,35,0.13,0.13,0.26,0.04,0.04,0,2,35,0,5
Séamus Coleman,Everton,DF,34,12,665,0,0,0,0.0,0.0,5,22,0.00,0.00,0.00,0.00,0.00,0,0,22,5,16
Tahith Chong,Luton Town,"MF,FW",23,33,"1,982",4,0,0,2.7,2.7,57,72,0.18,0.00,0.18,0.12,0.12,0,0,72,57,101
Taiwo Awoniyi,Nott'ham Forest,FW,25,20,"1,042",6,0,3,4.7,4.7,8,14,0.52,0.26,0.78,0.41,0.41,0,3,14,8,45
Takehiro Tomiyasu,Arsenal,DF,24,22,"1,149",2,0,1,1.5,1.5,17,72,0.16,0.08,0.23,0.12,0.12,0,1,72,17,37
Tariq Lamptey,Brighton,"DF,FW",22,19,914,0,0,3,0.4,0.4,39,17,0.00,0.30,0.30,0.04,0.04,0,3,17,39,64
Tawanda Chirewa,Wolves,"MF,FW",19,8,145,0,0,0,0.2,0.2,1,7,0.00,0.00,0.00,0.10,0.10,0,0,7,1,8
Teden Mengi,Luton Town,DF,21,30,"2,469",1,0,0,0.6,0.6,15,54,0.04,0.00,0.04,0.02,0.02,0,0,54,15,1
Thiago Silva,Chelsea,DF,38,31,"2,527",3,0,1,0.8,0.8,2,102,0.11,0.04,0.14,0.03,0.03,0,1,102,2,5
Thomas Kaminski,Luton Town,GK,30,38,"3,405",0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Thomas Partey,Arsenal,"MF,DF",30,14,788,0,0,0,0.4,0.4,15,72,0.00,0.00,0.00,0.05,0.05,0,0,72,15,10
Thomas Strakosha,Brentford,GK,28,2,135,0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Tim Iroegbunam,Aston Villa,MF,20,9,164,0,0,0,0.0,0.0,3,1,0.00,0.00,0.00,0.00,0.00,0,0,1,3,0
Tim Ream,Fulham,DF,35,18,"1,503",1,0,0,1.0,1.0,11,65,0.06,0.00,0.06,0.06,0.06,0,0,65,11,3
Timo Werner,Tottenham,FW,27,13,809,2,0,3,3.7,3.7,79,41,0.22,0.33,0.56,0.41,0.41,0,3,41,79,124
Timothy Castagne,Fulham,DF,27,34,"2,634",1,0,3,1.6,1.6,48,77,0.03,0.10,0.14,0.06,0.06,0,3,77,48,113
Tom Cairney,Fulham,MF,32,34,"1,488",1,0,4,1.1,1.1,35,145,0.06,0.24,0.30,0.07,0.07,0,4,145,35,72
Tom Davies,Sheffield Utd,MF,25,9,221,0,0,0,0.4,0.4,3,8,0.00,0.00,0.00,0.14,0.14,0,0,8,3,3
Tom Lockyer,Luton Town,DF,28,14,"1,169",1,0,1,1.1,1.1,6,37,0.08,0.08,0.15,0.08,0.08,0,1,37,6,2
Tommy Doyle,Wolves,MF,21,26,"1,222",0,0,0,0.4,0.4,21,81,0.00,0.00,0.00,0.03,0.03,0,0,81,21,17
Tomáš Souček,West Ham,MF,28,37,"2,870",7,0,2,6.7,6.7,7,86,0.22,0.06,0.28,0.21,0.21,0,2,86,7,39
Tosin Adarabioyo,Fulham,DF,25,20,"1,617",2,0,0,0.7,0.7,10,62,0.11,0.00,0.11,0.04,0.04,0,0,62,10,5
Toti Gomes,Wolves,DF,24,35,"2,772",1,0,3,1.6,1.6,22,79,0.03,0.10,0.13,0.05,0.05,0,3,79,22,11
Trent Alexander-Arnold,Liverpool,DF,24,28,"2,155",3,0,4,2.6,2.3,45,205,0.13,0.17,0.29,0.11,0.10,0,4,205,45,97
Trevoh Chalobah,Chelsea,DF,24,13,952,1,0,0,0.2,0.2,5,31,0.09,0.00,0.09,0.02,0.02,0,0,31,5,9
Tyler Adams,Bournemouth,MF,24,3,121,0,0,0,0.0,0.0,4,5,0.00,0.00,0.00,0.00,0.00,0,0,5,4,1
Tyrick Mitchell,Crystal Palace,"DF,MF",23,37,"3,204",2,0,3,1.6,1.6,32,94,0.06,0.08,0.14,0.04,0.04,0,3,94,32,159
Valentino Livramento,Newcastle Utd,DF,20,26,"1,314",1,0,0,0.4,0.4,44,61,0.07,0.00,0.07,0.03,0.03,0,0,61,44,76
Valentín Barco,Brighton,"DF,FW",19,6,307,0,0,0,0.2,0.2,8,14,0.00,0.00,0.00,0.05,0.05,0,0,14,8,20
Victor Lindelöf,Manchester Utd,DF,29,19,"1,328",1,0,1,0.8,0.8,17,40,0.07,0.07,0.14,0.05,0.05,0,1,40,17,17
Vinicius Souza,Sheffield Utd,MF,24,36,"2,668",1,0,0,0.6,0.6,7,66,0.03,0.00,0.03,0.02,0.02,0,0,66,7,21
Virgil van Dijk,Liverpool,DF,32,36,"3,177",2,0,2,2.8,2.8,32,200,0.06,0.06,0.11,0.08,0.08,0,2,200,32,7
Vitaliy Mykolenko,Everton,DF,24,28,"2,469",2,0,0,1.5,1.5,14,55,0.07,0.00,0.07,0.06,0.06,0,0,55,14,68
Vitaly Janelt,Brentford,"MF,DF",25,38,"3,054",1,0,3,1.8,1.8,25,123,0.03,0.09,0.12,0.05,0.05,0,3,123,25,81
Vitinho,Burnley,"DF,MF",24,32,"2,314",0,0,2,1.6,1.6,59,66,0.00,0.08,0.08,0.06,0.06,0,2,66,59,110
Vladimír Coufal,West Ham,DF,30,36,"3,132",0,0,7,0.3,0.3,68,119,0.00,0.20,0.20,0.01,0.01,0,7,119,68,126
Wataru Endo,Liverpool,MF,30,29,"1,722",1,0,0,0.5,0.5,10,101,0.05,0.00,0.05,0.03,0.03,0,0,101,10,21
Wes Foderingham,Sheffield Utd,GK,32,30,"2,649",0,0,0,0.0,0.0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Will Hughes,Crystal Palace,MF,28,30,"1,891",0,0,1,0.3,0.3,14,76,0.00,0.05,0.05,0.02,0.02,0,1,76,14,17
William Osula,Sheffield Utd,FW,19,21,786,0,0,0,1.6,1.6,7,2,0.00,0.00,0.00,0.19,0.19,0,0,2,7,41
William Saliba,Arsenal,DF,22,38,"3,420",2,0,1,1.6,1.6,16,157,0.05,0.03,0.08,0.04,0.04,0,1,157,16,6
Willian,Fulham,FW,34,31,"2,053",4,2,2,5.1,3.6,92,153,0.18,0.09,0.26,0.22,0.16,2,2,153,92,181
Willy Boly,Nott'ham Forest,DF,32,20,"1,438",2,0,1,1.5,1.5,4,32,0.13,0.06,0.19,0.09,0.09,0,1,32,4,3
Willy Kambwala,Manchester Utd,DF,18,8,330,0,0,0,0.0,0.0,2,8,0.00,0.00,0.00,0.00,0.00,0,0,8,2,1
Wilson Odobert,Burnley,"MF,FW",18,29,"2,098",3,0,2,2.8,2.8,102,58,0.13,0.09,0.21,0.12,0.12,0,2,58,102,123
Yasser Larouci,Sheffield Utd,DF,22,11,531,0,0,0,0.2,0.2,18,14,0.00,0.00,0.00,0.04,0.04,0,0,14,18,12
Yehor Yarmoliuk,Brentford,MF,19,27,688,0,0,0,1.0,1.0,13,35,0.00,0.00,0.00,0.13,0.13,0,0,35,13,36
Yoane Wissa,Brentford,FW,26,34,"2,493",12,0,3,10.6,10.6,45,48,0.43,0.11,0.54,0.38,0.38,0,3,48,45,150
Youri Tielemans,Aston Villa,"MF,FW",26,32,"1,622",2,0,6,1.3,1.3,23,128,0.11,0.33,0.44,0.07,0.07,0,6,128,23,46
Youssef Chermiti,Everton,FW,19,18,208,0,0,0,0.7,0.7,5,5,0.00,0.00,0.00,0.31,0.31,0,0,5,5,15
Yves Bissouma,Tottenham,MF,26,28,"2,068",0,0,0,1.4,1.4,43,169,0.00,0.00,0.00,0.06,0.06,0,0,169,43,13
Zeki Amdouni,Burnley,FW,22,34,"1,953",5,1,1,5.8,5.0,63,49,0.23,0.05,0.28,0.27,0.23,1,1,49,63,93
Álex Moreno,Aston Villa,DF,30,21,"1,031",2,0,0,1.1,1.1,32,24,0.17,0.00,0.17,0.10,0.10,0,0,24,32,83
Đorđe Petrović,Chelsea,GK,23,23,"1,987",0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
Łukasz Fabiański,West Ham,GK,38,10,721,0,0,0,0.0,0.0,0,1,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0
